period,ratio,category_id,keyword
2025-02-22,54.54545,50000008,비타민D
2025-02-23,100.0,50000008,비타민D
2025-02-24,45.45454,50000008,비타민D
2025-03-13,9.0909,50000008,비타민D
2025-04-08,9.0909,50000008,비타민D
2025-04-29,9.0909,50000008,비타민D
2025-07-21,9.0909,50000008,비타민D
2025-12-31,9.0909,50000008,비타민D
2026-02-09,9.0909,50000008,비타민D
